"","StartIndst","FinalIndst","weight","SubActivity_StartIndst","SubActivity_FinalIndst","MainActivity_StartIndst","MainActivity_FinalIndst","MainIndustry_StartIndst","MainIndustry_FinalIndst","Counts"
"1","8520","8520",1,"Primary","Primary","Education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",19443
"2","8610","8520",-0.761923184335818,"Hospital activities","Primary","Human health activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",301
"3","4711","8520",-0.440283123136516,"Food, beverages, tobacco mainly","Primary","Non specialised retail stores","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",574
"4","6419","8520",-0.794784588123407,"Other monetary intermediation","Primary","Financial, insurance, pension","Education","Business services","Government administrative functions, Education, Health",88
"5","5610","8520",-0.678085698385172,"Restaurants, mobile food service","Primary","Food, beverage service","Education","Other Service activities","Government administrative functions, Education, Health",168
"6","8424","8520",-0.705191606995375,"Police, public order, safety activ.","Primary","Central/Local Gov. administration","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",70
"7","7820","8520",-0.455720852237318,"Temporary employment agencies","Primary","Employment activities","Education","Business services","Government administrative functions, Education, Health",478
"8","4771","8520",-0.495594689995653,"Clothing","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",221
"9","8411","8520",0.367599115136138,"General public administration","Primary","Central/Local Gov. administration","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",1365
"10","8690","8520",-0.615131206864752,"Other","Primary","Human health activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",140
"11","8542","8520",-0.445661507011578,"Tertiary","Primary","Education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",174
"12","5310","8520",-0.840020694623359,"Under universal service obligation","Primary","Postal, courier activities","Education","Transportation and Storage","Government administrative functions, Education, Health",24
"13","8121","8520",-0.261373431565409,"General cleaning of buildings","Primary","Buildings, landscape activities","Education","Business services","Government administrative functions, Education, Health",322
"14","6910","8520",-0.667871566755512,"Legal activities","Primary","Legal and accounting activities","Education","Business services ","Government administrative functions, Education, Health",52
"15","4719","8520",-0.502868895902505,"Other non specialised","Primary","Non specialised retail stores","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",124
"16","8899","8520",0.0575288200987633,"Other","Primary","Non residential social work","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",539
"17","6920","8520",-0.511751696788901,"Accounting, auditing; tax consltcy","Primary","Legal and accounting activities","Education","Business services","Government administrative functions, Education, Health",94
"18","4120","8520",-0.689269061133874,"Residential, non-residential buildings","Primary","Construction of buildings","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",53
"19","5630","8520",-0.380431551082116,"Beverage serving","Primary","Food, beverage service","Education","Other Service activities","Government administrative functions, Education, Health",233
"20","7112","8520",-0.690716984677116,"Engineering/tech consultancy","Primary","Architectural, eng/tech testing","Education","Business services","Government administrative functions, Education, Health",50
"21","6190","8520",-0.78520285578764,"Other","Primary","Telecommunications","Education","Information and Communication","Government administrative functions, Education, Health",22
"22","8810","8520",-0.277280756491071,"Elderly, disabled","Primary","Non residential social work","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",216
"23","4931","8520",-0.801032181469146,"Urban/suburban passenger transport","Primary","Land, pipeline transport","Education","Transportation and Storage","Government administrative functions, Education, Health",18
"24","6820","8520",-0.365894102868142,"Renting, operating own or leased ","Primary","Real estate activities","Education","Business services ","Government administrative functions, Education, Health",104
"25","8531","8520",0.532222921471581,"General secondary","Primary","Education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",1177
