StartIndst,FinalIndst,Counts
8610,8610,7090
8520,8520,7052
4711,4711,3322
5610,5610,2106
6419,6419,1592
8424,8424,1561
8411,8411,1447
7820,7820,1443
8520,8411,1249
8542,8542,1176
4771,4771,1120
8690,8690,1106
8121,8121,1044
8520,8531,1010
6910,6910,859
6920,6920,792
5630,5630,755
8531,8531,743
4719,4719,739
8531,8520,729
4120,4120,685
8899,8899,651
7112,7112,637
8810,8810,616
5110,5110,599
8411,8520,576
8610,8690,542
4931,4931,521
7820,8610,510
5510,5510,503
6202,6202,501
8690,8610,484
8423,8423,476
8110,8110,474
6820,6820,472
4511,4511,466
6190,6190,465
8790,8790,462
4941,4941,462
7022,7022,462
9200,9200,460
5210,5210,426
8710,8710,426
4673,4673,402
8010,8010,399
8610,7820,381
6622,6622,378
3030,3030,377
5310,5310,370
3513,3513,358
8730,8730,353
5629,5629,353
8891,8891,351
8520,8899,350
8220,7022,343
8621,8621,320
4910,4910,310
8532,8532,309
8710,8810,283
4520,4520,277
5610,4711,271
4711,8520,269
4321,4321,268
4752,4752,265
7010,7010,259
6831,6831,256
4754,4754,254
5621,5621,252
5610,5630,248
6201,6201,247
8559,8559,247
8710,8610,238
8412,8412,234
6512,6512,233
5630,5610,232
7820,8520,229
4299,4299,227
5629,5621,225
8891,8520,222
8899,8520,213
6209,6209,209
8299,8299,207
9311,9311,206
8430,8430,204
8520,4711,201
6619,6619,200
7820,7810,198
4773,4773,196
9602,9602,194
8425,8425,194
5221,5221,192
5320,5320,189
8610,8621,176
8623,8623,175
7311,7311,175
8121,8110,175
7500,7500,173
4771,4711,173
8810,8710,172
7219,7219,172
8520,8891,171
8520,8610,169
7820,5210,164
8810,8730,163
4711,5610,163
4639,4639,160
2910,2910,160
8710,8730,157
8422,8422,157
9700,9700,155
8520,7820,152
8610,8520,151
8621,8610,150
4759,4759,149
4778,4778,149
4399,4399,148
7820,4711,148
4669,4669,146
8730,8610,146
8121,8520,146
8520,8121,142
4222,4222,141
3600,3600,139
8899,8411,138
8220,8299,138
8220,8220,138
5610,5510,138
4724,4724,137
8010,8110,137
3811,3811,135
4711,8610,133
4711,7820,128
6020,6020,128
4791,4791,127
6629,6622,126
2120,7219,126
4322,4322,123
6492,6492,123
8110,8121,122
4719,4711,122
4646,4646,122
9700,8520,121
8710,8790,121
8810,8790,121
8520,9700,121
5510,5610,120
4531,4531,118
8790,8730,117
8810,8610,117
4764,4764,117
7810,7810,116
7111,7111,116
8542,8610,115
8520,8810,115
4711,4771,115
4777,4777,115
1071,1071,114
7912,7911,111
8610,8542,110
6311,6311,110
4711,6419,110
8810,8520,109
9499,9499,108
6120,6120,108
6832,6832,107
5229,5229,107
